아이템ID,명칭,가격,샘플,전투,통상,버린다,장식,전생,스킬ID,설명문.
0,없음,0,255,0,0,0,0,0,0,1,NULL.
1,Item001,0,255,0,0,1,0,0,0,1,Item００１.
2,Item002,0,255,0,0,1,0,0,0,1,Item００２.
3,Item003,0,255,0,0,1,0,0,0,1,Item００３.
4,Item004,0,255,0,0,1,0,0,0,1,Item００４.
5,Item005,0,255,0,0,1,0,0,0,1,Item００５.
6,Item006,0,255,0,0,1,0,0,0,1,Item００６.
7,Item007,0,255,0,0,1,0,0,0,1,Item００７.
8,Item008,0,255,0,0,1,0,0,0,1,Item００８.
9,Item009,0,255,0,0,1,0,0,0,1,Item００９.
10,염주,100,0,0,1,1,0,0,0,1,일회용 염주.\n100걸음을 걷는 동안\n인형을 접근시키지 못하게 한다.
11,부적,200,0,0,1,1,0,0,0,1,일회용 부적.\n200걸음을 걷는 동안\n인형을 접근시키지 못하게 한다.
12,구옥,300,0,0,1,1,0,0,0,1,일회용 구옥.\n300걸음을 걷는 동안\n인형을 접근시키지 못하게 한다.
13,Item013,0,255,0,0,1,0,0,0,1,Item０１３.
14,Item014,0,255,0,0,1,0,0,0,1,Item０１４.
15,Item015,0,255,0,0,1,0,0,0,1,Item０１５.
16,동전,400,0,0,0,1,0,0,0,1,화폐로서는 쓸 수 없다.\n싼 가격에 팔 수 있다.
17,시계,400,0,0,0,1,0,0,0,1,바깥 세계에서 흘러 들어온 시간을\n알려주는 도구.\n싼 가격에 팔 수 있다. 
18,Item018,0,255,0,0,1,0,0,0,1,Item０１８.
19,Item019,0,255,0,0,1,0,0,0,1,Item０１９.
20,사금,1000,0,0,0,1,0,0,0,1,모래 형태의 순금.\n그럭저럭한 가격에 팔 수 있다.\n원령은 씌여지지 않았다.
21,진주,1000,0,0,0,1,0,0,0,1,백색의 보석.\n그럭저럭한 가격에 팔 수 있다.
22,Item022,0,255,0,0,1,0,0,0,1,Item０２２.
23,Item023,0,255,0,0,1,0,0,0,1,Item０２３.
24,버섯 분말,3000,0,0,0,1,0,0,0,1,무엇에 쓰이는지 알 수 없다.\n좋은 가격에 팔 수 있다.\n취급주의.
25,마도서,3000,0,0,0,1,0,0,0,1,뭐라고 써있는 지 알 수 없다.\n좋은 가격에 팔 수 있다.
26,휴대용 게임기,6000,0,0,0,1,0,0,0,1,폴더형 휴대식 게임기.
27,휴대용 게임기,6000,0,0,0,1,0,0,0,1,폴더형 휴대식 게임기.\n환상향에선 사용할 수 없을 것 같으니\n팔고 돌아가서 다시 사자.
28,은화,10000,0,0,0,1,0,0,0,1,화폐로서는 쓸 수 없다.\n고가에 팔 수 있다.
29,빈티지 와인,10000,0,0,0,1,0,0,0,1,아주 오래 숙성된 와인.\n고가에 팔 수 있다.
30,Item030,0,255,0,0,1,0,0,0,1,Item０３０.
31,Item031,0,255,0,0,1,0,0,0,1,Item０３１.
32,금화,20000,0,0,0,1,0,0,0,1,화폐로서는 쓸 수 없다.\n매우 비싸게 팔 수 있다.
33,마력의 결정,20000,0,0,0,1,0,0,0,1,마력이 긴 시간을 거쳐 결정화 한 물건.\n매우 비싸게 팔 수 있다.
34,Item034,0,255,0,0,1,0,0,0,1,Item０３４.
35,Item035,0,255,0,0,1,0,0,0,1,Item０３５.
36,Item036,0,255,0,0,1,0,0,0,1,Item０３６.
37,마력의 파편,400,0,0,0,1,0,0,0,1,결정화한 마력의 파편.\n뭔가에 쓰일 것 같으니까 챙겨두자.
39,Item038,0,255,0,0,1,0,0,0,1,Item０３８.
39,Item039,0,255,0,0,1,0,0,0,1,Item０３９.
40,Item040,0,255,0,0,1,0,0,0,1,Item０４０.
41,Item041,0,255,0,0,1,0,0,0,1,Item０４１.
42,전생용인 세트,0,0,0,0,1,0,0,0,1,Item０４２.
43,붉은 인,0,0,0,0,0,0,1,0,1,적색의 인장.\n전생할 때 사용하면 인형에게\n붉은 인이 붙는다.
44,파란 인,0,0,0,0,0,0,1,0,1,창색의 인장.\n전생할 때 사용하면 인형에게\n파란 인이 붙는다.
45,검은 인,0,0,0,0,0,0,1,0,1,흑색의 인장.\n전생할 때 사용하면 인형에게\n검은 인이 붙는다.
46,하얀 인,0,0,0,0,0,0,1,0,1,백색의 인장.\n전생할 때 사용하면 인형에게\n하얀 인이 붙는다.
47,녹색 인,0,0,0,0,0,0,1,0,1,벽색의 인장.\n전생할 때 사용하면 인형에게\n녹색 인이 붙는다.
48,Item048,0,255,0,0,1,0,0,0,1,Item０４８.
49,투명의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 전능력 개체 랭크가\n변화하지 않는다.
50,금의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 HP 개체 랭크가\n변화하지 않는다.
51,홍의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 집탄 개체 랭크가\n변화하지 않는다.
52,창의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 집방 개체 랭크가\n변화하지 않는다.
53,흑의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 산탄 개체 랭크가\n변화하지 않는다.
54,백의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 산방 개체 랭크가\n변화하지 않는다.
55,벽의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 준민 개체 랭크가\n변화하지 않는다.
56,무지개의 마석,0,0,0,0,0,0,2,0,1,신비한 마석.\n전생할 때 사용하면 계승 개체 랭크가\n늘어난다.
57,Item057,0,255,0,0,1,0,0,0,1,Item０５７.
58,Item058,0,255,0,0,1,0,0,0,1,Item０５８.
59,호접몽환,1000,0,0,0,1,0,0,0,1,일반적인 것으론 만족할 수 없는 당신을\n위한 악몽형.
60,Item060,0,255,0,0,1,0,0,0,1,Item０６０.
61,Item061,0,255,0,0,1,0,0,0,1,Item０６１.
62,Item062,0,255,0,0,1,0,0,0,1,Item０６２.
63,Item063,0,255,0,0,1,0,0,0,1,Item０６３.
64,Item064,0,255,0,0,1,0,0,0,1,Item０６４.
65,Item065,0,255,1,1,1,0,0,0,1,Item０６５.
66,Item066,0,255,1,1,1,0,0,0,1,Item０６６.
67,Item067,0,255,1,1,1,0,0,0,1,Item０６７.
68,Item068,0,255,1,1,1,0,0,0,1,Item０６８.
69,Item069,0,255,1,1,1,0,0,0,1,Item０６９.
70,Item070,0,255,1,1,1,0,0,0,1,Item０７０.
71,후지와라 전병,300,1,1,1,1,0,0,0,1,대나무 숯불로 구워진 딱딱한 전병.\nHP를 20 회복한다.
72,백옥 당고,500,1,1,1,1,0,0,0,1,백옥루 주인이 맛을 보장하는 당고.\nHP를 50 회복한다.
73,지령 만쥬,700,1,1,1,1,0,0,0,1,여행 선물용으로 인기가 많은 만쥬.\nHP를 100 회복한다.
74,안개의 물양갱,1200,1,1,1,1,0,0,0,1,단맛이 조금 덜한 물양갱.\nHP를 200 회복한다.
75,태양의 안미츠,2500,1,1,1,1,0,0,0,1,과일이 자뜩 들어간 안미츠.\nHP를 전부 회복한다.
76,유정천 세트,3000,1,1,1,1,0,0,0,1,하늘에서 맺은 복숭아를 가득 담은 것.\nHP를 전부 회복하고 상태 이상을\n회복한다.
77,모리야 신주,1500,1,1,1,1,0,0,0,1,모리야 신사에 공물로 바쳐진 신주.\n전투 불능을 회복하고 HP를 절반\n회복한다.
78,하쿠레이 신주 ,4000,1,1,1,1,0,0,0,1,하쿠레이 신사에 공물로 바쳐진 신주.\n전투 불능을 회복하고 HP를 전부\n회복한다.
79,명련차,600,1,1,1,1,0,0,0,1,명련사의 여승이 끓인 차.\n편안한 기분이 되고 상태 이상을\n회복한다.
80,Item080,0,255,1,1,1,0,0,0,1,Item０８０.
81,Item081,0,255,1,1,1,0,0,0,1,Item０８１.
82,Item082,0,255,1,1,1,0,0,0,1,Item０８２.
83,Item083,0,255,1,1,1,0,0,0,1,Item０８３.
84,준마이슈,1200,255,1,1,1,0,0,0,1,인형의 스킬 하나의 SP를 10 회복시킨다.\n적용불가.
85,혼죠조,2000,255,1,1,1,0,0,0,1,인형의 스킬 하나의 SP를 전부 회복시킨다.\n적용불가.
86,긴죠,3000,255,1,1,1,0,0,0,1,인형의 스킬 전부의 SP를 10 회복시킨다.\n적용불가.
87,다이긴죠,4500,255,1,1,1,0,0,0,1,인형의 스킬 전부의 SP를 전부 회복시킨다.\n적용불가.
88,Item088,0,255,1,1,1,0,0,0,1,Item０８８.
89,Item089,0,255,1,1,1,0,0,0,1,Item０８９.
90,Item090,0,255,1,1,1,0,0,0,1,Item０９０.
91,Item091,0,255,1,1,1,0,0,0,1,Item０９１.
92,칠색의 사탕,4800,1,0,1,1,0,0,0,1,칠색의 사탕.\n인형의 레벨을 1 올린다.
93,청류수의 모찌,10000,1,0,1,1,0,0,0,1,밝고 투명한 모찌다.\n인형에게 분배된 스텟 PP를 초기화시킨다.
94,Item094,0,255,1,1,1,0,0,0,1,Item０９４.
95,Item095,0,255,1,1,1,0,0,0,1,Item０９５.
96,Item096,0,255,1,1,1,0,0,0,1,Item０９６.
97,Item097,0,255,1,1,1,0,0,0,1,Item０９７.
98,Item098,0,255,1,1,1,0,0,0,1,Item０９８.
99,Item099,0,255,1,1,1,0,0,0,1,Item０９９.
100,Item100,0,255,1,1,1,0,0,0,1,Item１００.
101,Item101,0,255,1,1,1,0,0,0,1,Item１０１.
102,Item102,0,255,1,1,1,0,0,0,1,Item１０２.
103,Item103,0,255,1,1,1,0,0,0,1,Item１０３.
104,Item104,0,255,1,1,1,0,0,0,1,Item１０４.
105,Item105,0,255,1,1,1,0,0,0,1,Item１０５.
106,Item106,0,255,1,1,1,0,0,0,1,Item１０６.
107,Item107,0,255,1,1,1,0,0,0,1,Item１０７.
108,Item108,0,255,1,1,1,0,0,0,1,Item１０８.
109,Item109,0,255,1,1,1,0,0,0,1,Item１０９.
110,Item110,0,255,1,1,1,0,0,0,1,Item１１０.
111,Item111,0,255,1,1,1,0,0,0,1,Item１１１.
112,Item112,0,255,1,1,1,0,0,0,1,Item１１２.
113,Item113,0,255,1,1,1,0,0,0,1,Item１１３.
114,Item114,0,255,1,1,1,0,0,0,1,Item１１４.
115,Item115,0,255,1,1,1,0,0,0,1,Item１１５.
116,Item116,0,255,1,1,1,0,0,0,1,Item１１６.
117,Item117,0,255,1,1,1,0,0,0,1,Item１１７.
118,Item118,0,255,1,1,1,0,0,0,1,Item１１８.
119,Item119,0,255,1,1,1,0,0,0,1,Item１１９.
120,Item120,0,255,1,1,1,0,0,0,1,Item１２０.
121,Item121,0,255,1,1,1,0,0,0,1,Item１２１.
122,Item122,0,255,1,1,1,0,0,0,1,Item１２２.
123,Item123,0,255,1,1,1,0,0,0,1,Item１２３.
124,Item124,0,255,1,1,1,0,0,0,1,Item１２４.
125,Item125,0,255,1,1,1,0,0,0,1,Item１２５.
126,Item126,0,255,1,1,1,0,0,0,1,Item１２６.
127,Item127,0,255,1,1,1,0,0,0,1,Item１２７.
128,Item128,0,255,1,1,1,0,0,0,1,Item１２８.
129,Item129,0,255,0,0,1,1,0,0,1,Item１２９.
130,Item130,0,255,0,0,1,1,0,0,1,Item１３０.
131,Item131,20,255,0,0,1,1,0,0,1,장비하면 무속성 스킬의 위력을 약화시킨다.\n적용불가.
132,내염의 부,15000,2,0,0,1,1,0,0,1,장비하면 불속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
133,내수의 부,15000,2,0,0,1,1,0,0,1,장비하면 물속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
134,내연의 부,15000,2,0,0,1,1,0,0,1,장비하면 자연속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
135,내지의 부,15000,2,0,0,1,1,0,0,1,장비하면 땅속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
136,내강의 부,15000,2,0,0,1,1,0,0,1,장비하면 강철속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
137,내풍의 부,15000,2,0,0,1,1,0,0,1,장비하면 바람속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
138,내뢰의 부,15000,2,0,0,1,1,0,0,1,장비하면 번개속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
139,내광의 부,15000,2,0,0,1,1,0,0,1,장비하면 빛속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
140,내암의 부,15000,2,0,0,1,1,0,0,1,장비하면 어둠속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
141,내명의 부,15000,2,0,0,1,1,0,0,1,장비하면 유령속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
142,내독의 부,15000,2,0,0,1,1,0,0,1,장비하면 독속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
143,내투의 부,15000,2,0,0,1,1,0,0,1,장비하면 격투속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
144,내환의 부,15000,2,0,0,1,1,0,0,1,장비하면 환상속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
145,내음의 부,15000,2,0,0,1,1,0,0,1,장비하면 소리속성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
146,내왜의 부,15000,2,0,0,1,1,0,0,1,장비하면 왜곡특성 스킬로 결계가 관통되었을 때 위력을 약화시킨다.
147,Item147,0,255,0,0,1,1,0,0,1,Item１４７.
148,어린의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 집탄이 올라간다.
149,형액의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 집방이 올라간다.
150,학익의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 산탄이 올라간다.
151,방원의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 산방이 올라간다.
152,산병의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 준민이 올라간다.
153,언월의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 통렬한 일격이\n나오기 쉬워진다.
154,방진의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 능력 한 개가\n크게 올라간다.
155,봉시의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 명중이 올라간다.
156,안행의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 회피가 올라간다.
157,Item157,0,255,0,0,1,1,0,0,1,Item１５７.
158,Item158,0,255,0,0,1,1,0,0,1,Item１５８.
159,Item159,0,255,0,0,1,1,0,0,1,Item１５９.
160,신속의 부,15000,255,0,0,1,1,0,0,1,장비하면 위험할 때상대방보다 먼저\n행동할 수 있다. 착용불가.
161,생명의 부,50000,2,0,0,1,1,0,0,1,장비하면 위험할 때 HP를 조금 회복한다.
162,Item162,0,255,0,0,1,1,0,0,1,Item１６２.
163,Item163,0,255,0,0,1,1,0,0,1,Item１６３.
164,Item164,0,255,0,0,1,1,0,0,1,Item１６４.
165,치료의 부,50000,2,0,0,1,1,0,0,1,장비하면 상태 이상을 회복한다.
166,안마의 부,20000,2,0,0,1,1,0,0,1,장비하면 마비를 회복한다.
167,각성의 부,20000,2,0,0,1,1,0,0,1,장비하면 정지를 회복한다.
168,해독의 부,20000,2,0,0,1,1,0,0,1,장비하면 독·맹독을 회복한다.
169,팔상의 부,20000,2,0,0,1,1,0,0,1,장비하면 화상·대화상을 회복한다.
170,광명의 부,20000,2,0,0,1,1,0,0,1,장비하면 암흑을 회복한다.
171,안도의 부,20000,2,0,0,1,1,0,0,1,장비하면 공포를 회복한다.
172,기부의 부,20000,2,0,0,1,1,0,0,1,장비하면 쇠약을 회복한다.
173,수습의 부,20000,2,0,0,1,1,0,0,1,장비하면 혼란을 회복한다.
174,Item174,0,255,0,0,1,1,0,0,1,Item１７４.
175,Item175,0,255,0,0,1,1,0,0,1,Item１７５.
176,Item176,0,255,0,0,1,1,0,0,1,Item１７６.
177,해주의 부,50000,2,0,0,1,1,0,0,1,장비하면 자유롭게 스킬을 쓸 수\n없게 되었을 때 한 번만 회복한다.
178,Item178,0,255,0,0,1,1,0,0,1,Item１７８.
179,Item179,0,255,0,0,1,1,0,0,1,Item１７９.
180,치유의 부,1500,2,0,0,1,1,0,0,1,장비하면 HP를 20 회복한다.
181,재시의 부,20,255,0,0,1,1,0,0,1,장비하면 SP가 바닥났을 때 10 회복한다. 적용불가,
182,Item182,0,255,0,0,1,1,0,0,1,Item１８２.
183,Item183,0,255,0,0,1,1,0,0,1,Item１８３.
184,자의 부,50000,2,0,0,1,1,0,0,1,장비하면 공격 스킬을 받았을 때\n상대방에게 대미지를 준다.
185,반사의 부,20,255,0,0,1,1,0,0,1,장비하면 확산 스킬을 받았을 때\n상대방에게 대미지를 준다. 적용불가,
186,Item186,0,255,0,0,1,1,0,0,1,Item１８６.
187,Item187,0,255,0,0,1,1,0,0,1,Item１８７.
188,Item188,0,255,0,0,1,1,0,0,1,Item１８８.
189,계의 부,100000,2,0,0,1,1,0,0,1,장비하면 능력이 내려갔을 때\n한 번만 원 상태로 되돌린다.
190,속공의 부,100000,2,0,0,1,1,0,0,1,장비하면 대가가 필요한 스킬을\n한 턴에 쓰는 것이 가능하다.
191,Item191,0,255,0,0,1,1,0,0,1,Item１９１.
192,Item192,0,255,0,0,1,1,0,0,1,Item１９２.
193,Item193,0,255,0,0,1,1,0,0,1,Item１９３.
194,퇴장권고,250000,2,0,0,1,1,0,0,1,장비하면 공격을 받았을 때\n상대방을 강제적으로 교체한다.
195,퇴각의 심득서,250000,2,0,0,1,1,0,0,1,장비하면 공격을 받았을 때\n보유하고 있는 인형과 교체된다.
196,Item196,0,255,0,0,1,1,0,0,1,Item１９６.
197,Item197,0,255,0,0,1,1,0,0,1,Item１９７.
198,검은 초커,250000,2,0,0,1,1,0,0,1,장비하면 HP가 최대일 때 전투 불능이 되는 대미지를 받아도 HP가 1이 되어 버틴다. 
199,Item199,0,255,0,0,1,1,0,0,1,Item１９９.
200,Item200,0,255,0,0,1,1,0,0,1,Item２００.
201,다이아몬드,25000,2,0,0,1,1,0,0,1,투명한 보석.\n장비하면 한 번만 무속성 스킬의\n위력이 올라간다.
202,루비,25000,2,0,0,1,1,0,0,1,적색의 보석.\n장비하면 한 번만 불속성 스킬의\n위력이 올라간다.
203,사파이어,25000,2,0,0,1,1,0,0,1,수색의 보석.\n장비하면 한 번만 물속성 스킬의\n위력이 올라간다.
204,에메랄드,25000,2,0,0,1,1,0,0,1,심녹색의 보석.\n장비하면 한 번만 자연속성 스킬의\n위력이 올라간다.
205,타이거아이,25000,2,0,0,1,1,0,0,1,차색의 보석.\n장비하면 한 번만 땅속성 스킬의\n위력이 올라간다.
206,헤머타이트,25000,2,0,0,1,1,0,0,1,회색의 보석.\n장비하면 한 번만 강철속성 스킬의\n위력이 올라간다.
207,비취,25000,2,0,0,1,1,0,0,1,비취색의 보석.\n장비하면 한 번만 바람속성 스킬의\n위력이 올라간다.
208,토파즈,25000,2,0,0,1,1,0,0,1,노란색의 보석.\n장비하면 한 번만 번개속성 스킬의\n위력이 올라간다.
209,오팔,25000,2,0,0,1,1,0,0,1,무지개색의 보석.\n장비하면 한 번만 빛속성 스킬의\n위력이 올라간다.
210,옵시디언,25000,2,0,0,1,1,0,0,1,흑색의 보석.\n장비하면 한 번만 어둠속성 스킬의\n위력이 올라간다.
211,수기라이트,25000,2,0,0,1,1,0,0,1,자흑색의 보석.\n장비하면 한 번만 유령속성 스킬의\n위력이 올라간다.
212,자수정,25000,2,0,0,1,1,0,0,1,자색의 보석.\n장비하면 한 번만 독속성 스킬의\n위력이 올라간다.
213,앰버,25000,2,0,0,1,1,0,0,1,오렌지색의 보석.\n장비하면 한 번만 격투속성 스킬의\n위력이 올라간다.
214,모거나이트,25000,2,0,0,1,1,0,0,1,모란색의 보석.\n장비하면 한 번만 환상속성 스킬의\n위력이 올라간다.
215,오닉스,25000,2,0,0,1,1,0,0,1,줄무늬 모양의 보석.\n장비하면 한 번만 소리속성 스킬의\n위력이 올라간다.
216,라피스라줄리,25000,2,0,0,1,1,0,0,1,남색의 보석.\n장비하면 한 번만 왜곡속성 스킬의\n위력이 올라간다.
217,Item217,0,255,0,0,1,1,0,0,1,Item２１７.
218,Item218,0,255,0,0,1,1,0,0,1,Item２１８.
219,부유석,120000,2,0,0,1,1,0,0,1,장비하면 대지속성 스킬을 무효화하지만 대지속성 이외의 스킬을 받으면 없어진다.
220,반골의 심득서,250000,2,0,0,1,1,0,0,1,장비하면 결계가 관통되었을 때\n집탄과 산탄이 크게 올라간다.
221,저주의 경전,0,255,0,0,1,1,0,0,1,장비하면 턴이 끝나고 어빌리티를 잃어버린다. 적용불가,
222,청동 거울,120000,2,0,0,1,1,0,0,1,청동으로 만든 거울.\n장비하면 상대방의 능력이 올라갔을 때 자신의 능력도 오른다.
223,Item223,0,255,0,0,1,1,0,0,1,Item２２３.
224,금의 부,250000,2,0,0,1,1,0,0,1,장비하면 집중 스킬을 받았을 때\n집방이 오른다.
225,은의 부,250000,2,0,0,1,1,0,0,1,장비하면 확산 스킬을 받았을 때\n산방이 오른다.
226,Item226,0,255,0,0,1,1,0,0,1,Item２２６.
